,Future_Values,Dates
0,170.0836639404297,2020-11-16
1,173.0186309814453,2020-11-17
2,176.92129516601562,2020-11-18
3,179.6242218017578,2020-11-19
4,179.74330139160156,2020-11-20
5,178.6100616455078,2020-11-23
6,177.67930603027344,2020-11-24
7,176.79722595214844,2020-11-25
8,175.4728240966797,2020-11-26
9,175.5848846435547,2020-11-27
10,177.37550354003906,2020-11-30
11,179.4845428466797,2020-12-01
12,181.31394958496094,2020-12-02
13,182.4362335205078,2020-12-03
14,182.64198303222656,2020-12-04
15,182.2006072998047,2020-12-07
16,181.6675567626953,2020-12-08
17,181.2953643798828,2020-12-09
18,181.2558135986328,2020-12-10
19,181.96836853027344,2020-12-11
20,183.27857971191406,2020-12-14
21,184.62049865722656,2020-12-15
